sensor_ts,system_ts
4578100375,1754204486731107.2
4578133694,1754204486764506.5
4578167011,1754204486797809.0
4578200330,1754204486831117.2
4578233649,1754204486864419.2
4578266967,1754204486897750.8
4578300286,1754204486931200.0
4578333606,1754204486964426.5
4578366922,1754204486997735.8
4578400241,1754204487031014.0
4578433559,1754204487064340.8
4578466878,1754204487097668.5
4578500195,1754204487130983.8
4578533513,1754204487164321.5
4578566831,1754204487197666.0
4578600150,1754204487230935.2
4578633468,1754204487264258.8
4578666787,1754204487298625.2
4578700105,1754204487330976.5
4578733426,1754204487364286.8
4578766743,1754204487397558.8
4578800063,1754204487430840.8
4578833381,1754204487464178.8
4578866697,1754204487497518.0
4578900015,1754204487530829.5
4578933335,1754204487564198.2
4578966652,1754204487597481.2
4578999970,1754204487630773.2
4579033289,1754204487664117.5
4579066607,1754204487698449.0
4579099925,1754204487730816.8
4579133245,1754204487764049.2
4579166562,1754204487797313.2
4579199878,1754204487830671.2
4579233198,1754204487864006.0
4579266516,1754204487897294.8
4579299834,1754204487930628.2
